iter	RMSE
0	3.224648443
1	3.174049796
2	3.125257639
3	3.078736795
4	3.034181397
5	2.991630979
6	2.950750078
7	2.911923691
8	2.874674187
9	2.838839207
10	2.804739134
11	2.772063642
12	2.741333753
13	2.711651648
14	2.683212893
15	2.656259677
16	2.630336129
17	2.606015598
18	2.582658448
19	2.560249212
20	2.538903688
21	2.518295266
22	2.49890348
23	2.480247183
24	2.462702443
25	2.446190901
26	2.43015341
27	2.415176907
28	2.400608088
29	2.386025059
30	2.371755999
31	2.359511298
32	2.34649728
33	2.335145082
34	2.323203963
35	2.313259971
36	2.303302738
37	2.294130934
38	2.285273277
39	2.275721719
40	2.267727909
41	2.260192867
42	2.252790112
43	2.246081868
44	2.239536165
45	2.232118227
46	2.226033703
47	2.219369966
48	2.21392646
49	2.208732685
50	2.203844871
51	2.198025553
52	2.191874674
53	2.187708671
54	2.183644222
55	2.179027637
56	2.174736882
57	2.1703801
58	2.167095223
59	2.163031386
60	2.159162525
61	2.156006706
62	2.152333157
63	2.148997504
64	2.145785845
65	2.142677237
66	2.13946932
67	2.13637652
68	2.133542448
69	2.13121547
70	2.128560008
71	2.126774144
72	2.124364337
73	2.121993159
74	2.119457388
75	2.11668881
76	2.114637167
77	2.112545935
78	2.11039785
79	2.108462558
80	2.10615909
81	2.103610718
82	2.101985131
83	2.100369927
84	2.098109202
85	2.095603167
86	2.093454997
87	2.092567949
88	2.090735716
89	2.089301403
90	2.087823787
91	2.086186518
92	2.084836385
93	2.083605436
94	2.082385606
95	2.081039952
96	2.079631616
97	2.078659989
98	2.076838392
99	2.075431202
100	2.074229925
101	2.073016248
102	2.071679014
103	2.070566521
104	2.069573208
105	2.068658098
106	2.067496651
107	2.066322256
108	2.064738127
109	2.063830582
110	2.063101371
111	2.06227609
112	2.06151691
113	2.060896641
114	2.060094277
115	2.059117913
116	2.058294702
117	2.05766693
118	2.056824238
119	2.05617962
120	2.055536129
121	2.054628158
122	2.053835346
123	2.053276654
124	2.052660845
125	2.051788584
126	2.051346327
127	2.05086934
128	2.049838626
129	2.049248471
130	2.048557923
131	2.047976291
132	2.04745216
133	2.046646024
134	2.046211466
135	2.045216031
136	2.044785789
137	2.044374215
138	2.04365562
139	2.043125301
140	2.04238867
141	2.04145498
142	2.040512973
143	2.039676465
144	2.039157211
145	2.038517978
146	2.037822898
147	2.03664227
148	2.035325015
149	2.035067963
150	2.034734128
151	2.033875336
152	2.033130482
153	2.032249589
154	2.031437981
155	2.030963056
156	2.029888149
157	2.029085598
158	2.028468925
159	2.027573638
160	2.026573617
161	2.026178806
162	2.025807224
163	2.025122495
164	2.024367895
165	2.023724234
166	2.023406133
167	2.02243686
168	2.021961306
169	2.021618217
170	2.020774687
171	2.020224439
172	2.019640762
173	2.018208161
174	2.017819193
175	2.017423059
176	2.016979786
177	2.016634381
178	2.0150843
179	2.014849313
180	2.014388497
181	2.013516961
182	2.01262471
183	2.012347153
184	2.011766156
185	2.01129325
186	2.011044127
187	2.010849861
188	2.01014533
189	2.009478333
190	2.008852571
191	2.008228118
192	2.007998176
193	2.007512871
194	2.006983535
195	2.006374603
196	2.005172758
197	2.004089754
198	2.003430198
199	2.002771354
200	2.002208923
201	2.001931854
202	2.000970631
203	2.000463761
204	1.999753774
205	1.998934902
206	1.998683908
207	1.998476756
208	1.99743406
209	1.997180259
210	1.996667185
211	1.996035676
212	1.995710945
213	1.995043989
214	1.99455637
215	1.994108777
216	1.993169238
217	1.992889529
218	1.992708151
219	1.99222906
220	1.991861382
221	1.99143724
222	1.991248249
223	1.990946132
