iter	Passed	Remaining
0	1664	1662663
1	2110	1052983
2	2727	906357
3	3129	779203
4	3744	745155
5	4314	714772
6	4688	665119
7	5051	626369
8	5588	615316
9	5952	589335
10	6412	576516
11	6794	559445
12	7171	544463
13	7518	529552
14	8026	527066
15	8512	523495
16	8875	513214
17	9226	503335
18	9572	494259
19	10045	492216
20	10519	490387
21	10987	488465
22	11442	486036
23	11893	483649
24	12360	482066
25	12874	482288
26	13471	485468
27	13995	485847
28	14407	482409
29	14884	481261
30	15386	480939
31	15767	476962
32	16319	478204
33	16718	475002
34	17165	473282
35	17623	471927
36	18090	470836
37	18659	472381
38	19079	470135
39	19615	470781
40	20119	470603
41	20595	469763
42	21083	469221
43	21482	466749
44	21962	466102
45	22792	472697
46	23256	471571
47	23779	471628
48	24193	469541
49	24610	467596
50	24964	464534
51	25371	462533
52	25921	463165
53	26274	460296
54	26713	458980
55	27337	460839
56	27873	461140
57	28285	459388
58	28664	457174
59	29200	457466
60	29759	458095
61	30133	455888
62	30701	456617
63	31078	454524
64	31497	453086
65	31890	451304
66	32284	449576
67	32769	449137
68	33185	447764
69	33671	447355
70	34118	446419
71	34507	444761
72	34966	444021
73	35341	442240
74	35869	442392
75	36250	440732
76	36645	439268
77	37038	437808
78	37434	436415
79	37806	434769
80	38224	433677
81	38823	434635
82	39392	435214
83	39786	433859
84	40614	437203
85	41043	436204
86	41568	436234
87	41941	434671
88	42348	433474
89	43315	437968
90	44027	439791
91	44423	438439
92	45059	439455
93	45433	437898
94	45805	436355
95	46400	436935
96	46835	436003
97	47423	436492
98	47935	436258
99	48438	435948
100	49048	436580
101	49547	436212
102	50564	440350
103	51258	441608
104	51644	440206
105	52085	439286
106	52487	438047
107	52864	436617
108	53246	435250
109	53612	433771
110	54027	432702
111	54378	431144
112	54728	429591
113	55066	427971
114	55522	427280
115	56119	427672
116	56504	426438
117	56849	424929
118	57348	424573
119	57825	424056
120	58234	423043
121	58723	422617
122	59183	421981
123	59649	421397
124	60113	420796
125	60570	420148
126	60954	419003
127	61290	417543
128	62082	419174
129	62552	418619
130	63364	420333
131	63947	420502
132	64312	419241
133	64790	418720
134	65274	418239
135	65951	418984
136	66628	419714
137	66981	418391
138	67693	419307
139	68133	418535
140	68531	417506
141	69029	417091
142	69515	416605
143	69992	416064
144	70568	416111
145	70987	415228
146	71495	414868
147	72116	415156
148	72699	415216
149	73041	413903
150	73386	412618
151	73889	412228
152	74289	411264
153	74875	411330
154	75259	410287
155	75745	409802
156	76273	409546
157	76940	410025
158	77406	409428
159	77952	409250
160	78414	408630
161	78796	407602
162	79492	408193
163	80197	408810
164	80968	409751
165	81404	408983
166	81760	407823
167	82454	408346
168	83187	409045
169	83547	407906
170	84030	407376
171	84774	408101
172	85215	407360
173	85983	408173
174	86337	407017
175	86705	405940
176	87267	405767
177	87639	404719
178	88433	405609
179	88789	404487
180	89159	403435
181	89724	403266
182	90315	403210
183	90695	402216
184	91108	401371
185	91515	400504
186	91906	399572
187	92259	398483
188	92899	398634
189	93450	398393
190	94140	398743
191	94603	398124
192	94935	396956
193	95325	396042
194	95809	395523
195	96465	395706
196	97205	396224
197	97609	395367
198	98141	395032
199	98595	394380
200	99259	394567
201	99839	394414
202	100480	394496
203	100975	394001
204	101483	393556
205	102177	393829
206	102712	393482
207	103076	392482
208	103579	392016
209	104105	391636
210	104719	391580
211	105388	391725
212	106196	392378
213	106750	392083
214	107514	392553
215	108018	392066
216	108575	391770
217	108955	390839
218	109301	389792
219	109713	388985
220	110087	388046
221	110680	387881
222	111041	386903
223	111679	386889
224	112315	386865
225	113169	387579
226	113910	387897
227	114610	388065
228	114935	386967
229	115281	385940
230	116005	386182
231	116366	385213
232	117086	385429
233	117838	385745
234	118213	384824
235	118606	383963
236	119278	384006
237	120006	384222
238	120743	384458
239	121135	383596
240	121905	383925
241	122597	384005
242	123390	384390
243	123996	384186
244	124613	384011
245	125307	384073
246	126129	384516
247	126540	383703
248	127031	383135
249	128034	384103
250	128740	384169
251	129175	383425
252	129947	383680
253	130386	382946
254	131070	382930
255	131462	382063
256	132013	381656
257	132765	381829
258	133252	381236
259	133855	380974
260	134390	380516
261	135022	380330
262	135518	379760
263	135956	379030
264	136314	378079
265	136695	377197
266	137056	376262
267	137652	375976
268	138260	375718
269	139010	375843
270	139837	376167
271	140700	376581
272	141480	376763
273	142126	376583
274	142824	376536
275	143991	377715
276	144329	376714
277	144998	376578
278	145656	376411
279	146509	376738
280	147135	376478
281	147965	376734
282	148735	376830
283	149310	376431
284	149992	376296
285	150645	376086
286	151218	375675
287	152032	375857
288	152653	375559
289	153120	374880
290	153787	374691
291	154146	373751
292	154532	372882
293	155217	372732
294	156082	373010
295	156995	373395
296	157871	373682
297	158348	373023
298	158981	372729
299	159448	372046
300	160030	371632
301	161193	372559
302	162011	372679
303	162373	371749
304	163016	371464
305	163568	370968
306	164073	370367
307	164608	369834
308	165259	369561
309	165887	369232
310	166443	368745
311	167102	368482
312	168227	369239
313	169236	369732
314	170325	370391
315	170974	370084
316	171399	369292
317	172486	369924
318	173147	369634
319	173635	368975
320	174597	369319
321	175565	369668
322	176349	369624
323	176801	368883
324	177396	368438
325	178021	368056
326	178351	367066
327	178737	366193
328	179347	365782
329	179716	364879
330	180092	363993
331	181078	364338
332	181766	364079
333	182204	363317
334	182786	362845
