iter	RMSE
0	1.206485267
1	1.190971324
2	1.175852811
3	1.161482156
4	1.147797805
5	1.134694391
6	1.121700015
7	1.109280923
8	1.097128168
9	1.085953394
10	1.074886905
11	1.064674933
12	1.054560505
13	1.044458893
14	1.035409091
15	1.026638583
16	1.018053054
17	1.009395029
18	1.001619843
19	0.9942300487
20	0.9871970619
21	0.9804276731
22	0.9741610793
23	0.9679500436
24	0.9622741459
25	0.9567314108
26	0.9512853427
27	0.9461326724
28	0.9411367125
29	0.9363252675
30	0.9317855304
31	0.9275945343
32	0.9233613365
33	0.9196237961
34	0.9156362565
35	0.9118260083
36	0.9085593186
37	0.9053918801
38	0.9022061646
39	0.8989041457
40	0.8959241804
41	0.8929636618
42	0.8903830117
43	0.887699233
44	0.8851268868
45	0.882697494
46	0.880252178
