iter	Passed	Remaining
0	4464	4459830
1	9027	4504775
2	13470	4476844
3	17458	4347045
4	21661	4310722
5	25425	4212162
6	29936	4246706
7	33848	4197171
8	38105	4195888
9	42075	4165449
10	45827	4120285
11	49654	4088188
12	54014	4100975
13	58763	4138645
14	62774	4122188
15	67049	4123572
16	71404	4128885
17	76067	4149878
18	80336	4147880
19	84426	4136917
20	88936	4146141
21	92835	4126967
22	97422	4138319
23	101485	4127086
24	105522	4115362
25	109600	4105787
26	113447	4088326
27	117589	4082034
28	121876	4080760
29	126487	4089758
30	130580	4081695
31	134864	4079639
32	139143	4077321
33	143491	4076855
34	147677	4071669
35	151309	4051739
36	155525	4047869
37	159566	4039562
38	163869	4037902
39	168317	4039613
40	172394	4032352
41	176499	4025874
42	180639	4020276
43	185437	4029061
44	189691	4025676
45	193876	4020837
46	197908	4012903
